model,anomaly_points,anomaly_rate,event_count,avg_event_duration_hours,avg_event_severity_mw
zscore,440,0.008734144550092304,162,2.7160493827160495,4953.0
iforest,504,0.010004565575560275,69,7.304347826086956,7543.275362318841
autoencoder,504,0.010004565575560275,52,9.692307692307692,5180.384615384615
