start_time,end_time,duration_hours,max_abs_residual_MW,mean_abs_residual_MW,max_score
2016-08-29 10:00:00+00:00,2016-08-29 10:00:00+00:00,1,6007.0,6007.0,3.4457621057810375
2016-08-31 23:00:00+00:00,2016-09-01 00:00:00+00:00,2,1585.0,1541.5,-3.1562499194355365
2016-09-17 18:00:00+00:00,2016-09-17 22:00:00+00:00,5,7661.0,6226.2,-3.1104709911358004
2016-09-18 08:00:00+00:00,2016-09-18 11:00:00+00:00,4,7756.0,7325.25,-3.058367593372462
2016-10-30 23:00:00+00:00,2016-10-31 10:00:00+00:00,11,6096.0,4427.181818181818,-3.0141797070639176
2016-11-01 10:00:00+00:00,2016-11-01 12:00:00+00:00,3,7947.0,7589.666666666667,3.4897886585554816
2016-11-14 16:00:00+00:00,2016-11-14 16:00:00+00:00,1,7585.0,7585.0,3.6073281663064303
2016-11-27 06:00:00+00:00,2016-11-27 07:00:00+00:00,2,3798.0,3612.0,-3.093351753313536
2016-11-28 16:00:00+00:00,2016-11-28 18:00:00+00:00,3,5706.0,5029.0,4.115816576530635
2016-12-05 16:00:00+00:00,2016-12-05 16:00:00+00:00,1,6168.0,6168.0,3.141471621813071
2016-12-08 08:00:00+00:00,2016-12-08 08:00:00+00:00,1,3654.0,3654.0,-3.1538347675342693
2016-12-19 16:00:00+00:00,2016-12-19 18:00:00+00:00,3,6098.0,5670.0,4.123267949523166
2016-12-21 06:00:00+00:00,2016-12-21 08:00:00+00:00,3,6500.0,6163.333333333333,3.451193411213742
2016-12-23 06:00:00+00:00,2016-12-23 06:00:00+00:00,1,2496.0,2496.0,-3.105092329097299
2016-12-27 06:00:00+00:00,2016-12-27 06:00:00+00:00,1,4437.0,4437.0,-3.3319151497660995
2016-12-28 06:00:00+00:00,2016-12-28 06:00:00+00:00,1,5592.0,5592.0,-3.1173105638919543
2017-01-22 12:00:00+00:00,2017-01-22 12:00:00+00:00,1,1264.0,1264.0,-3.0012606235516563
2017-02-06 17:00:00+00:00,2017-02-06 17:00:00+00:00,1,2769.0,2769.0,3.0889088112778764
2017-03-19 14:00:00+00:00,2017-03-19 18:00:00+00:00,5,4556.0,4140.0,3.781957507902904
2017-03-25 08:00:00+00:00,2017-03-25 15:00:00+00:00,7,4865.0,4348.142857142857,-3.054210181378709
2017-04-29 07:00:00+00:00,2017-04-29 15:00:00+00:00,9,6213.0,4785.666666666667,-3.167492591940557
2017-07-23 09:00:00+00:00,2017-07-23 10:00:00+00:00,2,2950.0,2939.5,-3.065851050745208
2017-08-06 10:00:00+00:00,2017-08-06 10:00:00+00:00,1,3457.0,3457.0,-3.1643183014024374
2017-08-06 13:00:00+00:00,2017-08-06 13:00:00+00:00,1,3655.0,3655.0,-3.0294363035776817
2017-09-11 16:00:00+00:00,2017-09-11 16:00:00+00:00,1,5035.0,5035.0,3.2347503208407526
2017-10-01 07:00:00+00:00,2017-10-01 14:00:00+00:00,8,2633.0,2040.75,-3.036328626822479
2017-10-02 05:00:00+00:00,2017-10-02 06:00:00+00:00,2,3077.0,2949.5,-3.1656770475253104
2017-10-15 10:00:00+00:00,2017-10-15 11:00:00+00:00,2,3900.0,3826.0,-3.0832865161701597
2017-10-30 06:00:00+00:00,2017-10-30 11:00:00+00:00,6,5258.0,4630.5,-3.0965498418369353
2017-10-31 05:00:00+00:00,2017-10-31 07:00:00+00:00,3,7627.0,6539.333333333333,-3.14285763580603
2017-11-01 15:00:00+00:00,2017-11-01 16:00:00+00:00,2,8417.0,7470.0,3.8267814661420547
2017-11-20 15:00:00+00:00,2017-11-20 17:00:00+00:00,3,5511.0,4940.666666666667,4.142799095670853
2017-11-27 14:00:00+00:00,2017-11-27 15:00:00+00:00,2,5241.0,5186.0,3.3493490972567446
2017-12-10 06:00:00+00:00,2017-12-10 08:00:00+00:00,3,5355.0,5132.0,-3.2771286989902957
2017-12-27 05:00:00+00:00,2017-12-27 07:00:00+00:00,3,7811.0,7190.666666666667,-3.402033233337997
2018-01-08 16:00:00+00:00,2018-01-08 17:00:00+00:00,2,8994.0,8676.0,3.9026898541938193
2018-01-29 16:00:00+00:00,2018-01-29 17:00:00+00:00,2,2056.0,1784.5,3.4541553926295
2018-02-04 05:00:00+00:00,2018-02-04 06:00:00+00:00,2,5789.0,5620.0,-3.0552365381500968
2018-02-26 17:00:00+00:00,2018-02-26 22:00:00+00:00,6,5921.0,5449.333333333333,4.142139944324347
2018-03-12 16:00:00+00:00,2018-03-12 18:00:00+00:00,3,3412.0,3095.6666666666665,3.6697032046214226
2018-03-24 05:00:00+00:00,2018-03-24 16:00:00+00:00,10,5000.0,3519.8,-3.0231999744926603
2018-03-25 00:00:00+00:00,2018-03-25 00:00:00+00:00,1,5459.0,5459.0,-3.358013419984014
